
book name,synopsis
用户体验的要素,这不是一本关于“怎样做（How-to）”的书。有很多很多讨论如何建设网站的书，这本不是。这不是一本关于技术的书。在这里你找不到一行代码。这不是一本有答案的书。相反，这本书说的是“如何提出正确的问题”。这本书将告诉你，在你阅读其他书籍的之前，你需要提前了解什么。如果你需要一个大的概念，如果你需要了解用户体验设计师所做出的决策的环境，这本书很适合你。这本书经过精心设计，使你可以在一两个小时之内读完。如果你是一个刚刚进入用户体验领域的新手─可能你是一个负责组建用户体验团队的管理人员，或者你是一个碰巧进入这个领域的作家或设计师─那么这本书将给你一些基础的概念。如果你已经对这些方法和用户体验领域的关注点很熟悉了，那么这本书将帮助你更有效地把这些概念传达给与你合作的人们。本书是AJAX之父的经典之作。本书用简洁的语言系统化地诠释了设计、技术和商业融合是最重要的发展趋势。全书共8章，包括关于用户体验以及为什么它如此重要、认识这些要素、战略层、范围层、结构层、框架层、表现层以及要素的应用。..全书用清晰的说明和生动的图形分析了以用户为中心的设计方法（UCD）来进行网站设计的复杂内涵，并关注于思路而不是工具或技术，从而使你的网站具备高质量体验的流程。聪明的企业意识到网页设计远远比创建条理清晰的代码和鲜明的图形重要多得多。一个网站在满足您的战略目标的同时，还应该满足您的用户需求。如果没有一个“有凝聚力、统一的用户体验”来支持的话，即使最好的内容和最精密的技术也不能帮助您平衡这些目标。但是创建用户体验看上去是出乎意料的复杂。有很多方面都要考虑到──可用性、品牌识别、信息架构、交互设计──这使得“建立一个成功的网站的唯一方法”似乎就是花大价钱请那些完全了解这些细节的专家来做。本书用清晰的说明和生动的图形分析了“以用户为中心的设计方法（UCD）”来进行网站设计的复杂内涵，并关注于思路而不是工具或技术。JesseJamesGarrett给了读者一个关于“网站用户体验开发的总体概念”，从战略和信息架构需求到视觉设计。这种简单易学的介绍方法有助于任何一个网站开发团队，大的或小的，去创建一个成功的用户体验。
精益数据分析,本书展示了如何验证自己的设想、找到真正的客户、打造能赚钱的产品，以及提升企业知名度。30多个案例分析，全球100多位知名企业家的真知灼见，为你呈现来之不易、经过实践检验的创业心得和宝贵经验，值得每位创业家和企业家一读。深入理解精益创业、数据分析基础，和数据驱动的思维模式如何将六个典型的商业模式应用到各种规模的新企业找到你的第一关键指标确定底线，找到出发点在大企业中应用精益分析，打造新产品
联盟,"在充满变化的世界，联盟潜在的合伙人将不确定的行业转变为可掌控的职业生涯与世界紧密连接，开创精彩的事业与未来终生效忠于一家公司已经成为历史，我们正在经历的自由雇佣制——将员工看作自由人——无法建立创新所需的高度信任与合作的关系。互联网时代，企业如何用全新的人才策略定义员工的忠诚？未来职业成功的秘诀是什么？《联盟》提供了一种使雇主与员工之间从商业交易转变为互惠关系的框架，创建了一种鼓励公司和个人相互投资的工作模式。打造任期制,将非终身雇用的员工变为公司的长期人脉，并吸收员工的高效人脉情报。只有雇主与雇员结为强大的联盟，共同拥有持续的创新与丰富的智慧宝库，员工、团队、企业，乃至整个经济才能繁荣发展。1.世界最大的职业社交网站LinkedIn领英创始人作品，解密如何将全球的人才变为你的人脉。2.“联盟”作为一种全新的人才机制，正在席卷全球，《联盟》解读引领硅谷文化的全新管理技术。3.“PayPal黑帮”正在实践联盟策略。《联盟》揭秘彼得•蒂尔（著有《从0到1》）、埃隆•马斯克、里德•霍夫曼等人投创脸谱网（Facebook）、特斯拉（Tesla）、领英（LinkedIn）、YouTube、SaceX，改变硅谷格局的真正原因！"
失控的真相,编辑推荐在信息泛滥的时代，知识变得无处不在。鼠标轻轻一点，我们就坐拥一座巨型图书馆。然而，我们并没有因此就离真相更近。相反，互联网的普及使人们早已习惯于凡事问搜索引擎，并形成了一种“搜索即相信”的认知模式。当社交网络把数字人类带入一个个彼此隔绝的线上群体中，我们清楚地看到，真相与谎言在互联网中交织，知识与观念混为一谈，情绪宣泄掩盖了事实分析。联网的世界让我们更容易看到彼此的观点，但同时也制造了浮躁的气息。因此，本书作者呼吁，我们要从现在开始提高自己对知识与信息的甄别和理解能力，不仅知道“是什么”，也要多问“为什么”；我们应该注意防范隐私的泄露以及互联网上的数字霸权；我们要随时跳出藩篱，拾回理性，因为我们不是数字人，而是拥有智慧的真实人类。编辑推荐海内外知名学者徐贲长文作序，解读互联网无形之中对我们思维方式的改造，反思互联网时代人们的知识焦虑。这也是一本互联网时代的清醒之作！帮助你拥有智慧的大脑！互联网是嘈杂世界里的洗脑利器，情绪之火总是瞬间被点燃。当意见领袖层出、思维碎片蔓延，你比任何时候都需要独立思考！名人推荐这是一本关于互联网时代许多人不会质疑，因而让虚假大行其道的书。林奇关注的首先不是经济欺诈、身份盗用、不实广告或兜售假药这样的事情，而是虚假信息被人们在不加警觉和验证的情况下，被轻易当成了可靠的知识。美国加州圣玛利学院英文系教授徐贲林奇从一位领先哲学家的视角出发，以自然历史学家清晰易懂的写作风格，向我们展示了“知识”如何变成了受到控制的商品，人们对知识的理解力和创造力正在衰退。这本书特别值得教育者、家长、政策制定者以及所有希望平等参与知识经济的人阅读。《冲动的社会》作者保罗·罗伯茨林奇观察到，我们现在很少发现事实，相反，我们在不断地下载它们。当然，我们也会上传它们：每次点击鼠标和敲击键盘，我们都会拿出自己的某个部分，把它们交给数据利维坦……林奇看到了这个问题的根源在于一个众所周知的悖论：说明理由可以不用诉诸于理性。《纽约客》林奇准确地发现，在互联网时代，我们知道得更多了，理解得却更少了。于是他提出了一个关于“我们到底理解些什么”的问题。林奇的基本观点是，只有更好地理解知识是在怎样的条件下产生和传播的，我们才能变成更有责任感的认知者。《华尔街日报》这本书为我们从谎言中辨别真相提供了一个极好的视角。《科克斯书评》媒体推荐这是一本关于互联网时代许多人不会质疑，因而让虚假大行其道的书。林奇关注的首先不是经济欺诈、身份盗用、不实广告或兜售假药这样的事情，而是虚假信息被人们在不加警觉和验证的情况下，被轻易当成了可靠的知识。——美国加州圣玛利学院英文系教授，徐贲林奇从一位领先哲学家的视角出发，以自然历史学家清晰易懂的写作风格，向我们展示了“知识”如何变成了受到控制的商品，人们对知识的理解力和创造力正在衰退。这本书特别值得教育者、家长、政策制定者以及所有希望平等参与知识经济的人阅读。——《冲动的社会》作者，保罗·罗伯茨林奇观察到，我们现在很少发现事实，相反，我们在不断地下载它们。当然，我们也会上传它们：每次点击鼠标和敲击键盘，我们都会拿出自己的某个部分，把它们交给数据利维坦……林奇看到了这个问题的根源在于一个众所周知的悖论：说明理由可以不用诉诸于理性。——《纽约客》林奇准确地发现，在互联网时代，我们知道得更多了，理解得却更少了。于是他提出了一个关于“我们到底理解些什么”的问题。林奇的基本观点是，只有更好地理解知识是在怎样的条件下产生和传播的，我们才能变成更有责任感的认知者。——《华尔街日报》序言你的认知被“困缚”在网络里人们常常将互联网变革与印刷业带来的变革相比较。两者都是由技术进步引发了信息分配的新方式。知识的获取方式变得更加多元，成本也更为低廉，进而推动了大众教育的进步、新型经济的产生，乃至社会革命的进程。但事实上，这样的比较不能凸显互联网变革的重要性，互联网的功用更像是书面文字。文字写作是一门技术、一种手段。然而，文字的发明不仅带来了信息和知识分布的演变，它还是一种自我认知的新方式。文字可以帮助我们打破时间的界限，与另一个时空的自己以及他人进行对话。文字让我们免于繁复的记忆，从而减轻了我们的认知负荷。比如，我有一把父亲留给我的旧电锯，就在不久前，我发现电锯背面贴着一张他写的字条。与其说这是一张字条，不如说是一篇小小的随笔，里面详细记录了这把电锯的使用技巧和注意事项。我父亲的家里贴满了这样的便签，无论是更换割草机上的汽油过滤器，还是关停热水器，他都会随手记下各项zui佳操作方式，并且把这些便签贴在能看得到的地方，避免以后杂乱无章地做事情。我小时候觉得这样做很难为情，但现在我懂了。父亲是个大忙人，他知道自己可能会忘记第一次做某事时学到的某个小窍门。总之，他在和未来的自己进行交流，同时也减轻了自己现在的记忆负担。从小处着眼，这就是文字的功用，也说明了为什么它是人类进程中zui重要的发明之一。文字不只是传播知识的新方式，也是了解世界的新方式，有了文字，我们可以来一场时间的旅行，分享前人的思想。互联网也在以这样的方式颠覆我们的认知。文字为我们带来了一场时间的旅行，而互联网则突破了空间的限制—至少可以跨越广阔的海湾，实现即时通信。信息技术的变革使空间阻隔趋于无形，图书馆不再囿于砖墙，我们在访问和处理图书馆资料时也不一定要接触实物。因此，我们再也不需要亲自去某个地方找寻所需的信息。如今，zui快捷、zui简单的认知方式就是Google（谷歌）认知，它指的不仅是“通过搜索引擎获得知识”，还包括我们越来越依赖的数字认知手段。这或许是件好事，但也可能会减损我们其他方面的认知能力，以至我们不能以更具创造性和整合性的方式进行认知。新兴技术无一例外地会引发类似的争论—这也合乎情理。在20世纪50年代战后技术扩张的全盛时期，哲学家和艺术家们都曾担心核技术对人类的影响，以及我们的伦理思维是否能够协调并进。伯特兰·罗素（BertrandRussell）在《星期六晚报》上写道，他认为我们需要的是集知识、意志和情感于一体的智慧，而不仅仅是更多的求知渠道。罗素的观点很简单：知识多、智慧少是一件危险的事情。我也有同样的忧虑，并希望能够对此做点什么。不过罗素关注的是特定的知识类别—核弹知识，而我关心的是知识本身的扩张，以及瞬息万变的科技在如何影响着我们的认知过程和认知担当。不过，这可不是一本“反科技”的书。我是社交媒体及其运行平台（有时被称作“Web2.0”）的忠实用户。我使用推文（Tweet）、Facebook（脸谱网）、智能手机、平板电脑，而且不知用过多少台式计算机了。我没有理由去写一本反科技的书。技术本身不是问题。与核武器或枪支不同，信息技术本身通常不具有杀伤性（虽然它可以起到协助作用），问题在于我们如何使用这些技术。我的目标是要对我称之为数字化生活的哲学基础进行研究。无论我能否得出正确的结论，这项工作的必要性都是显而易见的，它可以帮助我们逃离罗素所担心的命运：被技术吞噬。文摘我们可以看到，互联网已经成为一种革命性的工具，它使人们可以在某种程度上独立寻找真相，而不是由政府、科研机构或自己的母亲来主导真相。目前有充分的证据显示，社交媒体——尤其是Twitter——不仅能够让抗议者们有效地组织起来，而且可以让全世界都知道他们的国家发生了什么。如果没有互联网，只要政府对传统媒体进行残酷的打压，信息就会丧失扩散的渠道，无法传播出去。如今，通过互联网与权威对话，揭露真相，这已经是众所周知的事情。同样众所周知的是，互联网在控制和扭曲真相方面也是世界上最强大的工具。我们已经谈到了互联网效应如何带动从众心理、狐猴式的信息扩散和群体极化现象。但在哲学家兼评论家杰森·斯坦利（JasonStanley）看来，互联网同样是一款极好的宣传工具。只要在Google上搜索“恐龙时代发生了什么？”——我最近就这样做过，你就会在结果页面的顶部看到一个固定化的答案“标签”：“《圣经》从数千年的历史角度给出了一个用以解释恐龙的框架，包括恐龙的生存年代之谜和恐龙时代发生了什么。在向儿童和成年人灌输几百万年的地球历史时，人们最常提到的就是恐龙。”这样的搜索结果令人警醒，它说明Google可以，而且经常受人操纵。一个精明的组织可以巧妙地将其奉行的准则以搜索结果的形式呈现出来，它将占据搜索页面的首要位置，而且这个定制的结果在漫不经心的Google用户看来俨然就是一个“事实”。这种方式就像所有高明的宣传一样无所不能，同时又不露出宣传的痕迹。总之，互联网是一个真相论争的战场，血腥而又混乱。因此，我们比以往任何时候都更难知道何为真相，于是有些人认为真理和客观性的概念已经不再受人追捧。现实与虚幻、真实与虚假的区分问题并不是数字时代的独有产物，只不过到了数字时代，这个问题有了新的表现形式。请从口袋里掏出一枚硬币，拿在手上，并把手伸向前方。请观察这枚硬币：它是什么形状呢？如果你像大多数人一样说它是“圆形的”，那么我建议你再仔细看看。除非你把硬币垂直地拿在面前，否则你更有可能看到一个椭圆形，如果你想以写实的方法画出这枚硬币，你就要把它画成椭圆形。小孩子们可能会画一个圆形；但是技法更为纯熟的艺术家则会画成一个椭圆形，为什么呢？因为这就是我们的所见。但如果是这样的话，我们难免会困惑，硬币是圆形的，而我们看到的却不是圆形，所以我们看到的不是硬币。洛克由此提出假设：我们直接感知到的不是物体本身，而是我们对事物的认知或呈现，洛克称之为我们对它们的“想法”。洛克认为，只有这样才可以解释为什么我们经常会对这个世界产生误解。（硬币的）幻象就是一个例子。洛克还用这种“想法”理论解释了一个事实：我们的认知通常具有相对性。洛克还做过另外一个实验，可能小孩子们都曾这样做过。拿来三碗水，一碗热水、一碗凉水和一碗温水。把你的右手放进冷水，左手放进热水，然后把两只手都放进温水里面。我们都知道结果：刚刚放进冷水的手会感到温水很热，而刚刚放进热水里的手会感到温水很凉。那么为什么会出现这种情况呢？洛克在伽利略的理论基础上给出了答案。他认为，就像水和硬币一样，所有的事物都具有两类“特征”，其基本特征就是真正“固化”在物体上的属性，正如洛克所说，这些属性独立于任何人的感知之外。洛克喜欢举的例子就是尺寸、形状和空间延伸，但今天我们可能会认为质量是物质最基本的属性。另一方面，次级属性是指没有“固化”在物体上的性质。正如洛克所说，次级属性是物体借助其微观结构引发我们产生某些认知或想法的能力。洛克说，颜色、气味、口味和冷热感觉都是如此。因此，我说消防车是红色的，并不是说红色是其固有的属性：消防车并非由“红色”的粒子所组成。红色以及其他“次级”属性的定义取决于我们在进行感知时参照的是什么标准。洛克认为，所有的认知都以我们的感知为介导。我们的感知能力就像是一副永久佩戴在头上的护目镜。当视线清晰的时候，我们感觉到的东西就代表了世界的真实原貌。在洛克看来，这意味着我们此时的想法恰好呈现出了思想之外的实际事物。但我们的视觉不会永远清晰，并由此产生了一个显而易见的问题，这个问题由与洛克同时期的乔治·伯克利（GeorgeBerkeley）提出来，因而变得著名：如果我们总是局限于自己的感知，那么我们怎样才能知道哪些感知反映的是真实情况，哪些又是我们大脑的产物呢？伯克利指出，即使再繁多、再精细的校验和实验也无法帮助我们摆脱自己的感知，洛克也认为，我们无法摆脱感知，无法凭空得出观点。无论我们是否同意洛克的哲学理论，伯克利提出的问题都是显而易见的。在某些方面，我们的确比以往更难分辨何为真实、何为主观判断了。造成这种现象的原因之一是，我们的互联网是一个构建起来的产物。在某种程度上，万维网显然是我们一手打造的，是一种直接的人为产物。我所谓的“直接的人为产物”是指人类本着某种目的特意制造出的某样东西。构成互联网核心物理元件的服务器、电缆和电路都是直接的人为产物，而作为互联网主体的信息数据包同样是直接的人为产物。网站、用户界面、jeg文件、Netﬂix（在线影片租赁提供商）视频网站上的电影资源，以及cookie文件（服务器生成的本地文件）都是直接的人为产物。毫无疑问，它们和任何实物一样真实。然而，这些信息物质的实现方式及其构建方式却大为不同。究其原因，正如哲学家卢西亚诺·弗洛里迪所言，信息物质是“模板化”的产物，因而具有抽象特征。我们在谈论某个音乐文件时并不是在谈论它的独有特征。由于数字副本之间不具有区分性，我们可以为一份数字文件创建若干“副本”，它们在同一时间出现，并且在某种意义上讲并不是“副本”，而是同样可以被称为原本。弗洛里迪认为，这意味着我们已经对真实物质的一般定义进行了扩展，不再局限于（可以触摸的）物质，而是进一步包含了“无须承载物的非实体物质和过程”。
浅薄,《浅薄：互联网如何毒化了我们的大脑》在我们跟计算机越来越密不可分的过程中，我们越来越多的人生体验通过电脑屏幕上闪烁摇曳、虚无缥缈的符号完成，最大的危险就是我们即将开始丧失我们的人性，牺牲人之所以区别于机器的本质属性。——尼古拉斯•卡尔“谷歌在把我们变傻吗？”当尼古拉斯•卡尔在发表于《大西洋月刊》上赫赫有名的那篇封面文章中提出这个问题的时候，他就开启了人们热切渴望的期盼源泉，让人急于弄清楚互联网是在如何改变我们的。卡尔同时也明确回答了我们这个时代面临的一个重要问题：在我们尽情享受互联网慷慨施舍的过程中，我们正在牺牲深度阅读和深度思考的能力吗？现在，卡尔把他的论证扩展到最具说服力的探索研究上，针对互联网导致的智力后果和文化后果，他阐述了迄今未见公开发表的观点结论。娓娓道来，叙述得引人入胜。卡尔让人心悦诚服地认识到，所有的信息技术都会带来一种智能伦理。印刷图书如何让我们进入聚精会神的状态，从而促进深度思维和创造性思维的发展。相比之下，互联网鼓励我们蜻蜓点水般地从多种信息来源中广泛采集碎片化的信息，其伦理规范就是工业主义，这是一套速度至上、效率至上的伦理，也是一套产量最大化、消费最大化的伦理——如此说来，互联网正在按照自己的面目改造我们。我们变得对扫描和略读越来越得心应手，但是，我们正在丧失的却是专注能力、沉思能力和反省能力。在《浅薄》一书中，有智能技术的发展历史，有大众科学的普及知识，有文化批判的真知灼见，全书处处闪耀着令人难忘的智慧之光，这些内容恰似对我们现代人的心智状态所做的全面而深远的拷问。这本书必将永远改变我们对传媒和大脑的思考方式。
图解HTTP,本书对互联网基盘——HTTP协议进行了全面系统的介绍。作者由HTTP协议的发展历史娓娓道来，严谨细致地剖析了HTTP协议的结构，列举诸多常见通信场景及实战案例，最后延伸到Web安全、最新技术动向等方面。本书的特色为在讲解的同时，辅以大量生动形象的通信图例，更好地帮助读者深刻理解HTTP通信过程中客户端与服务器之间的交互情况。读者可通过本书快速了解并掌握HTTP协议的基础，前端工程师分析抓包数据，后端工程师实现RESTAPI、实现自己的HTTP服务器等过程中所需的HTTP相关知识点本书均有介绍。本书适合Web开发工程师，以及对HTTP协议感兴趣的各层次读者。
沸腾十五年,覆雨翻云的中国网事；荡气回肠的产业传奇；虚拟世界的真实讲述；万象网络的还原走笔。~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~本书记录了一群在中国创造属于自己历史的人和他们的故事，他们是中国互联网自1995年兴起的波澜壮阔中的弄潮儿和财富新贵的代表：马化腾、丁磊、张朝阳、马云、陈天桥、李彦宏、史玉柱、田溯宁、张树新、王志东、王峻涛、雷军、周鸿祎、陈一舟……他们用互联网创造和推动着这个国家的历史，并改写了自己的财富路径，他们分属于三类人：海归（从海外归来的创业者）、本土技术爱好者（极客）和商业价值发现者（商人）。中国互联网产业作为一个产业，从诞生到现在不过15年时间，但在短短的15年里，却产生了接近40家在海外市场上上市的公司，其中超过15家公司达到过10亿美元市值的高位，这些公司的领袖以其无比阳光的财富路径，成为新一代中国企业家的中坚力量。但我们不能简单地把中国互联网的成功看作是一个支柱产业的崛起这么简单，而更应该把它看作是我们这个民族在改革开放的大时代下自我意识觉醒的一次大的提升，一次全民自发的集体性的自我赶超，一次从下到上，由民众自觉自发的创富运动。它让一代人开始有了自我意识的觉醒，并帮助我们这个国家更好的开放，更好的用世界通行的商业语言进行沟通。~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~林军和他撰写的这本关于中国互联网产业历史的书，脉络清晰、生动鲜明地把这样一大批创业者的形象和他们的动人故事呈现在读者眼前，值得一读。——中国互联网协会理事长、中国科协副主席胡启恒林军和他的这本关于中国互联网产业历史的著作用足够多的事实告诉我们，我们是完全有可能遵从不作恶的基本道德底线，做最好的自己的。——Google全球副总裁、大中华区总裁李开复中国互联网产业发展可分三个阶段，窄带互联网的建设（能上网）、宽带互联网的建设（更快上网）和目前的互联网大规模应用创新（更好上网）。幸运的是，我都作为一分子积极地参与到其中，而更宽广的路才刚刚开始。可贵的是，林军先生在他的书中用他的笔和心记录下这一切。——中国宽带产业基金董事长田溯宁读林军的这本关于中国互联网产业历史的书，就像回到了那段激情燃烧的岁月。——卓越网创始人、金山公司副董事长雷军林军对互联网这个行业的观察和记录超过12年，写这本书的时间超过3年，用这么长的时间做这样一件有功德的事情，难能可贵。林军和这本关于中国互联网产业历史的书值得期待。——松禾资本董事长罗飞身为互联网投资领域的先驱之一，我一向认为，中国有朝一日必将成为互联网的主要市场，如今事实已经摆在眼前。林军这本书记述了中国的互联网发展历史，描摹出一群优秀的互联网企业家和风险投资人，生动地再现了梦想变成现实的过程。若想了解中国互联网的过去与未来，林军这本书不容错过。——《零重力》作者、美国畅销书作家、风险投资人史蒂夫•哈蒙
未来是湿的,一位妇女丢掉了手机，但征召了一群志愿者将其从盗窃者手中夺回。一个旅客在乘坐飞机时领受恶劣服务，她通过自己的博客发动了一场全民运动。在伦敦地铁爆炸案和印度洋海啸中，公民们用可拍照手机提供了比摄影记者更完备的记录。世界上最大的百科全书是由管理甚少的参与者们撰写的……不论在何处，你都能看见人们走到一起彼此分享，共同工作，或是发起某种公共行动。一部集众人之力的百科全书、一个丢失手机的传奇，这些事情看上去似乎没有什么联系，但它们乃至更多事情的影响实际上有着共同的根基：在人类历史上第一次，我们的交流工具支持群体对话与群体行动。聚集一群人并使之行动原本对资源有极高的要求，使得全世界范围内的群体努力都被置于一种制度的垄断之下。今天，全球分享与合作的工具终于交到了个体公民的手中。如同印刷机放大了个人的头脑，电话加强了双向沟通，一系列新工具如即时通信、移动电话、网络日志和维基百科也强化了群体交流。因为人类天生就擅长群体工作，所有能够强化群体努力的东西终会改变社会。商业模式以一种令人头晕目眩的速度被改变，更大的社会影响达到极为深刻的程度，以致我们无法认识。现在一个拥有笔记本电脑的人可以掀起一场颠覆10亿美元产业的运动。在本书中，克雷·舍基，一个新文化的最敏锐的观察者，对此种社会革命的后果——无论是好是坏——给予了明晰而富有穿透力的解析，并思考了我们是谁，我们可以做什么。
小米生态链战地笔记,2013年下半年，小米开始做一件事，就是打造一个生态链布局IoT（物联网）；2016年年底，小米生态链上已经拥有了77家企业，生态链企业整体销售额突破100亿元。这3年，是小米生态链快速奔跑的3年，也是小米在商场中不断厮杀着成长的3年。3年，77家生态链企业，16家年销售额破亿，4家独角兽公司，边实战，边积累经验。小米生态链是一个基于企业生态的智能硬件孵化器。过去的3年中，在毫无先例可循、完全依靠自身实践的状态下，小米生态链摸索出了一系列独特的打法：“入资不控股，帮忙不添乱”的投资逻辑、以工程师为主的投资团队、矩阵式全方位孵化，成为全球智能硬件领域产品出货量最大、布局最广的生态系统。继小米内部营销手册《参与感》成为互联网企业营销的“爆款”参考之后，小米再度复盘，开启智能硬件全新生态，用真金白银打出来的战地经验。《小米生态链战地笔记》以小米生态链内部视角，全面记录、梳理了小米生态链的萌生、发展、壮大过程，以及如何以极致的产品杀入不同领域的故事。本书分为上下两篇。上篇为生态链篇，阐述小米硬件生态系统的搭建、布局、管理、发展和奔跑之中的思考；下篇为产品篇，阐述小米生态链产品从产品定义，到设计研发等各个维度中总结出的经验和教训。这些经验和教训，都是用真金白银换来的，既可以为制造企业转型提供全新的思路，也是硬件创业者的必读内容，对于互联网企业切入实体经济也是很好的参考。
Getting Real,"GettingRealdetailsthebusiness,design,rogramming,andmarketingrincilesof37signals.Thebookisackedwithkee-it-simleinsights,contrarianointsofview,andunconventionalaroachestosoftwaredesign.Thisisnotatechnicalbookoradesigntutorial,it&#39;sabookofideas.Anyoneworkingonaweba-includingentrereneurs,designers,rogrammers,executives,ormarketers-willfindvalueandinsirationinthisbook.37signalsusedtheGettingRealrocesstolaunchfivesuccessfulweb-basedalications(Basecam,Camfire,Backack,Writeboard,Ta-daList),andRubyonRails,anoen-sourcewebalicationframework,injusttwoyearswithnooutsidefunding,nodebt,andonly7eole(distributedacross7timezones).Over500,000eolearoundtheworldusethesealicationstogetthingsdone.Nowyoucanfindouthowtheydiditandhowyoucandoittoo.It&#39;snotashardasyouthinkifyouGetReal."
我看电商,"本书是作者近30年从事及电子商务管理的总结和分享。近年来电商行业在中国迅猛发展，2012年网络市场规模达到13,000亿人民币，诞生了淘宝、天猫、京东、、凡客、唯品会……等一大批全新的网络公司，电子商务正在日益深入的影响着越来越多人的生活。同时，这个行业连年亏损，顾客服务良莠不齐，也广为人们所关注。作者从地面到电子商务，从跨国公司高管到管理民营企业，从开创天猫模式到带领上市，被业界称为中国实战派的领军人物。如今这位自称跨界老兵的电商操盘手第一次全方位剖析电商风云，细说中美电子商务发展的不同路径，评点国内各大电商企业的是是非非，详解其中的融资、模式、运营、效率……个中经验，毫无保留的娓娓道来，笔触至深，让人不禁掩卷沉思。本书对于所有从事互联网或电商运营的企业及个人，对于投资电商或服务电商的相关业界人士，对于有志进军电商领域的年轻学生、创业者，以及对于将要触电的线下企业，都是一本不可多得的必读书。"
结网,本书作者一直从事互联网产品的研究和实战，经验丰富，同时作为导师，指导了大量优秀的产品经理，本书的内容也是作者8年来培养产品经理新兵的经验集萃。如果你缺乏培养产品经理的教材，本书正好总结了产品经理知识体系，无疑是你很好的选择。本书覆盖了相当全面的互联网知识，对于想要了解互联网行业或想要借助互联网进行营销的人来说，都是很好的入门读物。本书并不是一本完善的互联网创业指南，而是写给胸怀互联网梦想的人最诚挚的枕边书。从互联网产品经理的视角，结合作者本人的成长实践，深入剖析了互联网公司的产品运作方式和互联网产品的成功要素。通过本书，你可以学习到：·如何成为一名互联网产品经理·互联网中细分市场的划分和特点·创建互联网产品的第一线经验·优化用户体验让产品赢得千万级用户·怎样保持产品的竞争力·如何建立创新文化
技术元素,我会将我不成熟的想法、笔记、内心争论、草稿以及对其他文章的回应都写在《技术元素》中，这样我就能知道自己到底在想些什么。——KK“技术元素”（technium)是凯文•凯利专门创造出来的词语。“技术元素不仅仅包括一些具象的技术（例如汽车、雷达和计算机等），它还包括文化、法律、社会机构和所有的智能创造物。”简而言之，技术元素就是从人的意识中涌现出来的一切。KK把这种科技的延伸面看成一个能产生自我动力的整体。本书继承了《失控》和《新经济的新规则》的思考体系，谈到了文明进化、数字出版、免费经济、人工智能、物联网、数字化生活等热议的话题。而更深层次的是，KK希望借此讨论：技术元素的本质是什么？人类应该拥抱还是拒绝它？人类对它本身的未来发展究竟有多少把握？KK把对这些疑惑的理解都写在了《技术元素》里。相比于KK之前的著作，本书将更通俗易懂，文章中涉及到的领域、所举的事例都更贴近当下人们的生活体验。而阅读这样一本书，将能最贴近地了解到KK在思考什么。试读：htt:site.douban.comwidgetnotes7736184note210517634
SEO实战密码,本书是畅销书升级版，详细和系统地介绍了正规、有效的SEO实战技术，包括为什么要做SEO、搜索引擎工作原理、关键词研究、网站结构优化、外部链接建设、SEO效果监测及策略修改，SEO作弊及惩罚、排名因素列表、常用的SEO工具、SEO项目管理中需要注意的问题等专题，最后提供了一个非常详细的案例供读者参考。第3版增加了移动搜索优化、APP排名优化、百度2015年排名因素调查结果等新内容，并对前两版中不再适用的内容进行了调整，如删除已无法使用的SEO工具，增加新工具介绍，更新已产生变化的搜索结果页面抓图，修正一些新形势下的SEO观点等。本书不仅对需要做SEO的人员有帮助，如个人站长、公司SEO或网络营销人员、SEO服务公司人员等，对所有从事与网站相关工作的人都有参考价值，如网站设计人员、程序员、大中专院校网络营销和电子商务专业学生、网络公司技术和营销团队、传统商业公司电子商务团队等。
免费,在《免费:商业的未来》这本书，克里斯·安德森认为，新型的“免费”并不是一种左口袋出、右口袋进的营销策略，而是一种把货物和服务的成本压低到零的新型卓越能力。在上世纪“免费”是一种强有力的推销手段，而在21世纪它已经成为一种全新的经济模式。究竟什么是免费商业模式？根据克里斯·安德森的说法，这种新型的“免费”商业模式是一种建立在以电脑字节为基础上的经济学，而非过去建立在物理原子基础上的经济学。这是数字化时代一个独有特征，如果某样东西成了软件，那么它的成本和价格也会不可避免地趋于零。这种趋势正在催生一个巨量的新经济，这也是史无前例的，在这种新经济中基本的定价就是“零”。对我们个人来说，“免费”是一种涤荡旧有思维的商业体验，而对企业来说，“免费”更多的是一种生存法则，一种可以改变旧有发展模式而实现脱胎换骨的“动力机器”。
大型网站技术架构,《大型网站技术架构：核心原理与案例分析》通过梳理大型网站技术发展历程，剖析大型网站技术架构模式，深入讲述大型互联网架构设计的核心原理，并通过一组典型网站技术架构设计案例，为读者呈现一幅包括技术选型、架构设计、性能优化、Web安全、系统发布、运维监控等在内的大型网站开发全景视图。《大型网站技术架构：核心原理与案例分析》不仅适用于指导网站工程师、架构师进行网站技术架构设计，也可用于指导产品经理、项目经理、测试运维人员等了解网站技术架构的基础概念；还可供包括企业系统开发人员在内的各类软件开发从业人员借鉴，了解大型网站的解决方案和开发理念。
